words,parts,lemma,pos,feats,deps,head,,
%,Times,ТАЙМС,PROPN,Animacy=Inan|Case=Nom|Foreign=Yes|Gender=Fem|Number=Sing,flat,0,,
##,,,,,,,,
пол пот,PROPN Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,,,,,,,
%,Пол,ПОЛ,PROPN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,%,0,,
%,Пот,ПОТ,PROPN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,flat,1,,
##,,,,,,,,
пол пот,PROPN Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing,,,,,,,
%,Пол,ПОЛ,PROPN,Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing,%,,,
%,Потом,ПОТ,PROPN,Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing,flat,0,,
##,,,,,,1,,
рбк daily,NOUN Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing,,,,,,,
%,РБК,РБК,PROPN,Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing,%,0,,
%,daily,DAILY,ADJ,Foreign=Yes,appos,1,,
##,,,,,,,,
сан лоренцо,PROPN Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing,,,,,,,
%,Сан,САН,PROPN,_,%,0,,
%,Лоренцо,ЛОРЕНЦО,PROPN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,flat,1,,
##,,,,,,,,
сарасота бей,PROPN Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,,,,,,,
%,Сарасота,САРАСОТА,PROPN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,%,0,,
%,Бей,БЕЙ,PROPN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,flat,1,,
##,,,,,,,,
фри-пресс джорнэл,NOUN Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing,,,,,,,
%,Фри-Пресс,ФРИ-ПРЕСС,ADJ,_,%,0,,
%,Джорнэл,ДЖОРНЭЛ,NOUN,Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing,flat,1,,
##,,,,,,,,
чан кайши,PROPN Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing,,,,,,,
%,Чан,ЧАН,PROPN,Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing,%,0,,
%,Кайши,КАЙШИ,PROPN,Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing,flat,1,, 
##,,,,,,,,
чан кайши,PROPN Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing,,,,,,,
%,Чан,ЧАН,PROPN,Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing,%,0,,
%,Кайши,КАЙШИ,PROPN,Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing,flat,1,,
##,,,,,,,,
чан кайши,PROPN Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing,,,,,,,
%,Чан,ЧАН,PROPN,Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing,%,0,,
%,Кайши,КАЙШИ,PROPN,Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing,flat,1,,
##,,,,,,,,
примо де ривера,NOUN Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing,,,,,,,
%,Примо,ПРИМО,PROPN,Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing,%,0,,
%,Де,ДЕ,PROPN,Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing,flat,-1,,
%,Ривера,РИВЕРА,PROPN,Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing,flat,2,,
##,,,,,,,,
эль греко,PROPN Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing,,,,,,,
%,Эль,ЭЛЬ,PROPN,_,%,-1,,
%,Греко,ГРЕКО,PROPN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,flat,0,,
##,,,,,,,,
хомо сапиенс,NOUN Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,,,,,,,
%,Хомо,ХОМО,PROPN,_,%,0,,
%,Сапиенс,САПИЕНС,PROPN,Animacy=Anim|Case=Nom|Foreign=Yes|Gender=Masc|Number=Sing,flat,1,,
##,,,,,,,,
хомо сапиенс,PROPN Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing,,,,,,,
%,Homo,ХОМО,PROPN,_,%,0,,
%,Sapiens,САПИЕНС,PROPN,Animacy=Anim|Case=Gen|Foreign=Yes|Gender=Masc|Number=Sing,flat,1,,
##,,,,,,,,
хомо сапиенс,NOUN Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing,,,,,,,
%,Homo,ХОМО,PROPN,_,%,0,,
%,Sapiens,САПИЕНС,PROPN,Animacy=Anim|Case=Gen|Foreign=Yes|Gender=Masc|Number=Sing,flat,1,,
##,,,,,,,,
хомо сапиенс,NOUN Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing,,,,,,,
%,Homo,ХОМО,PROPN,_,%,0,,
%,Sapiens,САПИЕНС,PROPN,Animacy=Anim|Case=Acc|Foreign=Yes|Gender=Masc|Number=Sing,flat,1,,
##,,,,,,,,
др тчк,NOUN Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,,,,,,,
%,др,др,NOUN,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,%,0,,
##,,,,,,,,
км нкл ч,NOUN Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur,,,,,,,
%,км/ч,км/ч,NOUN,Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur,%,0,,
##,,,,,,,,
м нкл с,NOUN Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur,,,,,,,
%,м/ч,м/ч,NOUN,Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur,%,0,,
##,,,,,,,,
равно как и,ADV Degree=Pos,,,,,,,
%,равно,РАВНО,ADV,Degree=Pos|Gender=Neut|Number=Sing|Variant=Short,0,-1,,
%,как,КАК,SCONJ,_,0,0,,
%,и,И,PART,_,0,1,,
##,,,,,,,,
равно как и,CCONJ,,,,,,,
%,равно,РАВНО,ADV,Degree=Pos|Gender=Neut|Number=Sing|Variant=Short,0,-1,,
%,как,КАК,SCONJ,_,0,0,,
%,и,И,PART,_,0,1,,
##,,,,,,,,
в живых,ADV Degree=Pos,,,,,,,
%,в,В,ADP,_,case,-1,,
%,живых,ЖИВОЙ,ADJ,Case=Loc|Degree=Pos|Number=Plur,0,0,,
##,,,,,,,,
с глазу на глаз,ADV Degree=Pos,,,,,,,
%,с,С,ADP,_,case,-1,,
%,глазу,ГЛАЗ,NOUN,Animacy=Inan|Case=Par|Gender=Masc|Number=Sing,0,0,,
%,на,НА,ADP,_,case,1,,
%,глаз,ГЛАЗ,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,fixed,2,,
##,,,,,,,,
между тем,ADV Degree=Pos,,,,,,,
%,между,МЕЖДУ,ADP,_,case,-1,,
%,тем,ТО,PRON,Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing,0,0,,
##,,,,,,,,
в районе,ADP,,,,,,,
%,в,В,ADP,_,case,-1,,
%,районе,РАЙОН,NOUN,Animacy=Inan|Cas=Loc|Gender=Masc|Number=Sing,0,0,,
##,,,,,,,,
в районе,ADV,,,,,,,
%,в,В,ADP,_,case,-1,,
%,районе,РАЙОН,NOUN,Animacy=Inan|Cas=Loc|Gender=Masc|Number=Sing,nmod,0,,
##,,,,,,,,
пока что,SCONJ,,,,,,,
%,пока,ПОКА,ADV,Degree=Pos,advmod,0,,
%,что,ЧТОБЫ,SCONJ,_,fixed,1,,
##,,,,,,,,
пока что,ADV,,,,,,,
%,пока,ПОКА,ADV,Degree=Pos,advmod,0,,
%,что,ЧТО,SCONJ,_,fixed,1,,
##,,,,,,,,
едва ли не,PART,,,,,,,
%,едва,ЕДВА,ADV,Degree=Pos,advmod,-2,,
%,ли,ЛИ,PART,_,fixed,-1,,
%,не,НЕ,PART,_,0,0,,
##,,,,,,,,
едва ли не,ADV,,,,,,,
%,едва,ЕДВА,ADV,Degree=Pos,advmod,-2,,
%,ли,ЛИ,PART,_,fixed,-1,,
%,не,НЕ,PART,_,0,0,,
##,,,,,,,,
и так,ADV Degree=Pos,,,,,,,
%,и,И,PART,_,advmod,-1,,
%,так,ТАК,ADV,Degree=Pos,0,0,,
##,,,,,,,,
после того как,SCONJ,,,,,,,
%,после,ПОСЛЕ,ADP,_,case,-1,,
%,того,ТО,PRON,Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing,0,0,,
%,как,КАК,SCONJ,_,0,0,,
##,,,,,,,,
раз и навсегда,ADV Degree=Pos,,,,,,,
%,раз,РАЗ,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,0,0,,
%,и,И,CCONJ,_,cc,-1,,
%,навсегда,НАВСЕГДА,ADV,Degree=Pos,conj,2,,
##,,,,,,,,
судя по всему,ADV Degree=Pos,,,,,,,
%,судя,СУДИТЬ,VERB,Aspect=Imp|Tense=Pres|VerbForm=Conv|Voice=Act,0,0,,
%,по,ПО,ADP,_,case,-1,,
%,всему,ВСЁ,NOUN,Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing,obl,2,,
##,,,,,,,,
при чем,PRON,,,,,,,
%,при,ПРИ,ADP,_,case,-1,,
%,чем,ЧТО,PRON,Case=Loc,0,0,,
##,,,,,,,,
с лишним,ADV Degree=Pos,,,,,,,
%,с,С,ADP,_,case,-1,,
%,лишним,ЛИШНИЙ,ADJ,Case=Ins|Degree=Pos|Gender=Neut|Number=Sing,0,0,,
##,,,,,,,,
в целом,ADV Degree=Pos,,,,,,,
%,в,В,ADP,_,case,-1,,
%,целом,ЦЕЛОЕ,NOUN,Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing,0,0,,
##,,,,,,,,
тем более что,SCONJ,,,,,,,
%,тем,ТО,PRON,Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing,obl,-1,,
%,более,БОЛЕЕ,ADV,Degree=Cmp,0,0,,
%,что,ЧТО,SCONJ,_,fixed,1,,
##,,,,,,,,
не только,ADV Degree=Pos,,,,,,,
%,не,НЕ,PART,Polarity=Neg,advmod,-1,,
%,только,ТОЛЬКО,PART,_,0,0,,
##,,,,,,,,
не только,SCONJ,,,,,,,
%,не,НЕ,PART,Polarity=Neg,advmod,0,,
%,только,ТОЛЬКО,PART,_,fixed,1,,
##,,,,,,,,
на выезде,ADV,,,,,,,
%,на,НА,ADP,_,case,-1,,
%,выезде,ВЫЕЗД,NOUN,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,0,0,,
##,,,,,,,,
в среднем,ADV Degree=Pos,,,,,,,
%,в,В,ADP,_,case,-1,,
%,среднем,СРЕДНЕЕ,NOUN,Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing,0,0,,
##,,,,,,,,
"с тем, чтобы",SCONJ,,,,,,,
%,с,С,ADP,_,case,-1,,
%,тем,ТО,PRON,Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing,0,0,,
%,",",",",PUNCT,_,punct,0,,
%,чтобы,ЧТОБЫ,SCONJ,_,mark,0,,
##,,,,,,,,
на днях,ADV Degree=Pos,,,,,,,
%,на,НА,ADP,_,case,-1,,
%,днях,ДЕНЬ,NOUN,Animacy=Inan|Case=Loc|Gender=Masc|Number=Plur,obl,0,,
##,,,,,,,,
всё еще,ADV Degree=Pos,,,,,,,
%,всё,ВСЁ,PART,_,advmod,0,,
%,еще,ЕЩЕ,ADV,Degree=Pos,fixed,1,,
##,,,,,,,,
не раз,ADV Degree=Pos,,,,,,,
%,не,НЕ,PART,_,advmod,-1,,
%,раз,РАЗ,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,0,0,,
##,,,,,,,,
по всей видимости,ADV Degree=Pos,,,,,,,
%,по,ПО,ADP,_,case,-2,,
%,всей,ВЕСЬ,DET,Case=Dat|Gender=Fem|Number=Sing,det,-1,,
%,видимости,ВИДИМОСТЬ,NOUN,Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing,0,0,,
##,,,,,,,,
на самом деле,W,,,,,,,
%,на,НА,ADP,_,case,-2,,
%,самом,САМЫЙ,ADJ,Case=Loc|Degree=Pos|Gender=Neut|Number=Sing,amod,-1,,
%,деле,ДЕЛО,NOUN,Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing,nmod,0,,
##,,,,,,,,
тем самым,W,,,,,,,
%,тем,ТО,PRON,Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing,obl,0,,
%,самым,САМЫЙ,ADJ,Case=Ins|Degree=Pos|Gender=Neut|Number=Sing,amod,1,,
##,,,,,,,,
при этом,W,,,,,,,
%,при,ПРИ,ADP,_,case,-1,,
%,этом,ЭТО,PRON,Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing,obl,0,,
##,,,,,,,,
скорее всего,W,,,,,,,
%,скорее,СКОРЕЕ,ADV,Degree=Pos,parataxis,0,,
%,всего,ВСЕ,PRON,Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing,obl,1,,
##,,,,,,,,
в основном,W,,,,,,,
%,в,В,ADP,_,case,-1,,
%,основном,ОСНОВНОЙ,ADJ,Case=Loc|Degree=Pos|Gender=Masc|Number=Sing,parataxis,0,,
##,,,,,,,,
вместе с тем,W,,,,,,,
%,вместе,ВМЕСТЕ,ADV,Degree=Pos,parataxis,0,,
%,с,С,ADP,_,case,-1,,
%,тем,ТО,PRON,Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing,obl,2,,
##,,,,,,,,
среди прочего,W,,,,,,,
%,среди,СРЕДИ,ADP,_,case,-1,,
%,прочего,ПРОЧИЙ,ADJ,Case=Gen|Degree=Pos|Gender=Neut|Number=Sing,obl,0,,
##,,,,,,,,
к примеру,W,,,,,,,
%,к,К,ADP,_,case,-1,,
%,примеру,ПРИМЕР,NOUN,Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing,parataxis,0,,
##,,,,,,,,
может быть,W,,,,,,,
%,может,МОЧЬ,VERB,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,parataxis,0,,
%,быть,БЫТЬ,VERB,Aspect=Imp|VerbForm=Inf|Voice=Act,xcomp,1,,
##,,,,,,,,
кроме того,W,,,,,,,
%,кроме,КРОМЕ,ADP,_,case,-1,,
%,того,ТО,PRON,Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing,parataxis,0,,
##,,,,,,,,
и так далее,ADV,,,,,,,
%,и,И,CCONJ,_,сс,-1,,
%,так,ТАК,ADV,Degree=Pos,conj,0,,
%,далее,ДАЛЕЕ,ADV,Degree=Pos,fixed,1,,
##,,,,,,,,
что называется,W,,,,,,,
%,что,ЧТО,PRON,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,nsubj,-1,,
%,называетс,НАЗЫВАТЬСЯ,VERB,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,parataxis,0,,
##,,,,,,,,
вместо этого,W,,,,,,,
%,вместо,ВМЕСТО,ADP,_,case,-1,,
%,этого,ЭТО,PRON,Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing,obl,0,,
##,,,,,,,,
как и ожидалось,W,,,,,,,
%,как,КАК,SCONJ,_,mark,-2,,
%,и,И,PART,_,advmod,-1,,
%,ожидалось,ОЖИДАТЬ,VERB,Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Pass,parataxis,0,,
##,,,,,,,,
таким образом,W,,,,,,,
%,таким,ТАКОЙ,DET,Case=Ins|Gender=Masc|Number=Sing,det,-1,,
%,образом,ОБРАЗ,NOUN,Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing,obl,0,,
##,,,,,,,,
в некотором роде,W,,,,,,,
%,в,В,ADP,_,case,-2,,
%,некотором,НЕКОТОРЫЙ,DET,Case=Loc|Gender=Masc|Number=Sing,det,-1,,
%,роде,РОД,NOUN,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,obl,0,,
##,,,,,,,,
так вот,W,,,,,,,
%,так,ТАК,ADV,Degree=Pos,advmod,-1,,
%,вот,ВОТ,PART,_,root,0,,
##,,,,,,,,
надо полагать,W,,,,,,,
%,надо,НАДО,ADV,Degree=Pos,parataxis,0,,
%,полагать,ПОЛАГАТЬ,VERB,Aspect=Imp|VerbForm=Inf|Voice=Act,csubj,1,,
##,,,,,,,,
не в последнюю очередь,W,,,,,,,
%,не,НЕ,PART,Polarity=Neg,fixed,-1,,
%,в,В,ADP,_,discourse,0,,
%,последнюю,ПОСЛЕДНИЙ,ADJ,Case=Acc|Gender=Fem|Number=Sing,fixed,1,,
%,очередь,ОЧЕРЕДЬ,NOUN,Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing,fixed,2,,
##,,,,,,,,
но и,W,,,,,,,
%,но,НО,CCONJ,_,cc,0,,
%,и,И,CCONJ,_,fixed,1,,
##,,,,,,,,
но и,CCONJ,,,,,,,
%,но,НО,CCONJ,_,cc,0,,
%,и,И,CCONJ,_,fixed,1,,
##,,,,,,,,
в объезд,ADV,,,,,,,
%,в,В,ADP,_,fixed,-1,,
%,объезд,ОБЪЕЗД,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,advmod,0,,
##,,,,,,,,
и вовсе,ADV,,,,,,,
%,и,И,PART,_,fixed,-1,,
%,вовсе,ВОВСЕ,ADV,Degree=Pos,advmod,0,,
##,,,,,,,,
"больше, чем",ADV,,,,,,,
%,больше,БОЛЬШЕ,ADV,Degree=Cmp, conj,_,,
%,",",",",PUNCT,_, punct,_,,
%,чем,ЧЕМ,SCONJ,_, mark,_,,
##,,,,,,,,
как следует,ADV,,,,,,,
%,как,КАК,SCONJ,_,fixed,-1,,
%,следует,СЛЕДОВАТЬ,VERB,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,advmod,0,,
##,,,,,,,,
стало быть,W,,,,,,,
%,стало,СТАТЬ,VERB,Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,parataxis,0,,
%,быть,БЫТЬ,VERB,Aspect=Imp|VerbForm=Inf|Voice=Act,xcomp,1,,
##,,,,,,,,
бы то ни было,PART,,,,,,,
%,бы,БЫ,PART,_,parataxis,-3,,
%,то,ТО,PRON,Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing,fixed,-2,,
%,ни,НИ,PART,Polarity=Neg,fixed,-1,,
%,было,БЫЛО,VERB,Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,fixed,0,,
##,,,,,,,,
или же,CCONJ,,,,,,,
%,или,ИЛИ,CCONJ,_,cc,0,,
%,же,ЖЕ,PART,_,fixed,1,,
##,,,,,,,,
как и следовало ожидать,W,,,,,,,
%,как,КАК,SCONJ,_,mark,-2,,
%,и,И,PART,_,advmood,-1,,
%,следовало,СЛЕДОВАТЬ,VERB,Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,parataxis,0,,
%,ожидать,ОДИЖАТЬ,VERB,Aspect=Imp|VerbForm=Inf|Voice=Act,csubj,1,,
##,,,,,,,,
и без того,ADV,,,,,,,
%,и,И,PART,_,advmod,-2,,
%,без,БЕЗ,ADP,_,case,-1,,
%,того,ТО,PRON,Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing,obl,0,,
##,,,,,,,,
в действительности,ADV,,,,,,,
%,в,В,ADP,_,case,-1,,
%,действительности,ДЕЙСТВИТЕЛЬНОСТЬ,NOUN,Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing,obl,0,,
##,,,,,,,,
на нет,ADV,,,,,,,
%,на,НА,ADP,_,fixed,0,,
%,нет,НЕТ,PART,_,fixed,0,,
##,,,,,,,,
кстати говоря,W,,,,,,,
%,кстати,КСТАТИ,ADV,Degree=Pos,advmod,-1,,
%,говоря,ГОВОРИТЬ,VERB,Aspect=Imp|Tense=Pres|VerbForm=Conv|Voice=Act,parataxis,0,,
##,,,,,,,,
и т.д.,W,,,,,,,
%,и,И,CCONJ,_,cc,-1,,
%,т.,ТАК,ADV,Degree=Pos,conj,0,,
%,д.,ДАЛЕЕ,ADV,Degree=Pos,fixed,1,,
##,,,,,,,,
и т.д,W,,,,,,,
%,и,И,CCONJ,_,cc,-1,,
%,т.,ТАК,ADV,Degree=Pos,conj,0,,
%,д.,ДАЛЕЕ,ADV,Degree=Pos,fixed,1,,
##,,,,,,,,
в большинстве,W,,,,,,,
%,в,В,ADP,_,case,-1,,
%,большинстве,БОЛЬШИНСТВО,NOUN,Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing,obl,0,,
##,,,,,,,,
все время,ADV,,,,,,,
%,все,ВЕСЬ,DET,Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing,det,-1,,
%,время,ВРЕМЯ,NOUN,Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing,obl,0,,
##,,,,,,,,
за бесценок,ADV,,,,,,,
%,за,ЗА,ADP,_,case,-1,,
%,бесценок,БЕСЦЕНОК,NOUN,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,obl,0,,
##,,,,,,,,
следующим образом,ADV,,,,,,,
%,следующим,СЛЕДУЮЩИЙ,ADJ,Case=Ins|Degree=Pos|Gender=Masc|Number=Sing,amod,-1,,
%,образом,ОБРАЗ,NOUN,Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing,obl,0,,
##,,,,,,,,
по очереди,ADV,,,,,,,
%,по,ПО,ADP,_,case,-1,,
%,очереди,ОЧЕРЕДЬ,NOUN,Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing,obl,0,,
##,,,,,,,,
по большей части,ADV,,,,,,,
%,по,ПО,ADP,_,case,-2,,
%,большей,БОЛЬШИЙ,ADJ,Case=Dat|Degree=Pos|Gender=Fem|Number=Sing,amod,-1,,
%,части,ЧАСТЬ,NOUN,Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing,nmod,0,,
##,,,,,,,,
и т.п,W,,,,,,,
%,т.,ТО,PRON,Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing,conj,-1,,
%,п.,ПОДОБНЫЙ,ADJ,Case=Nom|Degree=Pos|Gender=Neut|Number=Sing,fixed,0,,
##,,,,,,,,
к тому же,W,,,,,,,
%,к,К,ADP,_,case,-1,,
%,тому,ТО,PRON,Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing,obl,0,,
%,же,ЖЕ,PART,_,advmod,1,,
##,,,,,,,,
будто бы,SCONJ,,,,,,,
%,будто,БУДТО,PART,_,advmod,0,,
%,бы,БЫ,PART,_,fixed,1,,
##,,,,,,,,
кроме прочего,W,,,,,,,
%,кроме,КРОМЕ,ADP,_,case,-1,,
%,прочего,ПРОЧИЙ,ADJ,Case=Gen|Degree=Pos|Gender=Neut|Number=Sing,obl,0,,
##,,,,,,,,
всего лишь,W,,,,,,,
%,всего,ВСЕГО,PART,_,advmod,-1,,
%,лишь,ЛИШЬ,PART,_,advmod,0,,
##,,,,,,,,
во всяком случае,W,,,,,,,
%,во,ВО,ADP,_,case,-2,,
%,всяком,ВСЯКИЙ,DET,Case=Loc|Gender=Masc|Number=Sing,det,-1,,
%,случае,СЛУЧАЙ,NOUN,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,parataxis,0,,
##,,,,,,,,
вроде как,W,,,,,,,
%,вроде,ВРОДЕ,ADV,Degree=Pos,parataxis,0,,
%,как,КАК,SCONJ,_,mark,0,,
##,,,,,,,,
в точности,ADV,,,,,,,
%,в,В,ADP,_,case,-1,,
%,точности,ТОЧНОСТЬ,NOUN,Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing,obl,0,,
##,,,,,,,,
главным образом,W,,,,,,,
%,главным,ГЛАВНЫЙ,ADJ,Case=Ins|Degree=Pos|Gender=Masc|Number=Sing,amod,-1,,
%,образом,ОБРАЗ,NOUN,Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing,obl,0,,
##,,,,,,,,
на деле,W,,,,,,,
%,на,НА,ADP,_,case,-1,,
%,деле,ДЕЛО,NOUN,Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing,obl,0,,
##,,,,,,,,
и прочее,W,,,,,,,
%,и,И,CCONJ,_,cc,-1,,
%,прочее,ПРОЧИЙ,ADJ,Case=Nom|Degree=Pos|Gender=Neut|Number=Sing,conj,0,,
##,,,,,,,,
как можно,ADV,,,,,,,
%,как,КАК,ADV,Degree=Pos,advmod,0,,
%,можно,МОЖНО,ADV,Degree=Pos,fixed,1,,
##,,,,,,,,
в принципе,W,,,,,,,
%,в,В,ADP,_,case,-1,,
%,принципе,ПРИНЦИП,NOUN,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,obl,0,,
##,,,,,,,,
не просто,SCONJ,,,,,,,
%,не,НЕ,PART,Polarity=Neg,advmod,-1,,
%,просто,ПРОСТО,ADV,Degree=Pos,advmod,0,,
##,,,,,,,,
опять же,W,,,,,,,
%,опять,ОПЯТЬ,ADV,Degree=Pos,parataxis,0,,
%,же,ЖЕ,PART,_,advmod,1,,
##,,,,,,,,
черт возьми,INTJ,,,,,,,
%,черт,ЧЕРТ,NOUN,Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing,nsubj,-1,,
%,возьми,ВЗЯТЬ,VERB,Aspect=Perf|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act,parataxis,0,,
##,,,,,,,,
на глазах,ADV,,,,,,,
%,на,НА,ADP,_,case,-1,,
%,глазах,ГЛАЗ,NOUN,Animacy=Inan|Case=Loc|Gender=Masc|Number=Plur,obl,0,,
##,,,,,,,,
кроме этого,W,,,,,,,
%,кроме,КРОМЕ,ADP,_,case,-1,,
%,этого,ЭТО,PRON,Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing,parataxis,0,,
##,,,,,,,,
как правило,ADV,,,,,,,
%,как,КАК,SCONJ,_,case,-1,,
%,правило,ПРАВИЛО,NOUN,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,parataxis,0,,
##,,,,,,,,
с тем чтобы,SCONJ,,,,,,,
%,с,С,ADP,_,case,-1,,
%,тем,ТО,PRON,Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing,0,0,,
%,чтобы,ЧТОБЫ,SCONJ,_,mark,0,,
##,,,,,,,,
помимо этого,W,,,,,,,
%,помимо,ПОМИМО,ADP,_,case,-1,,
%,этого,ЭТО,PRON,Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing,parataxis,0,,
##,,,,,,,,
в гору,ADV,,,,,,,
%,в,В,ADP,_,case,-1,,
%,гору,ГОРА,NOUN,Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing,nmod,0,,
##,,,,,,,,
то ли,CCONJ,,,,,,,
%,то,ТО,CCONJ,_,cc,0,,
%,ли,ЛИ,PART,_,fixed,1,,
##,,,,,,,,
как можно,ADV,,,,,,,
%,как,КАК,ADV,Degree=Pos,advmod,0,,
%,можно,МОЖНО,ADV,Degree=Pos,fixed,1,,
##,,,,,,,,
"тем более, что",SCONJ,,,,,,,
%,тем,ТО,PRON,Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing,obl,-1,,
%,более,БОЛЕЕ,ADV,Degree=Cmp,mark,0,,
%,",",",",PUNCT,_,punct,-1,,
%,что,ЧТО,SCONJ,_,fixed,2,,
##,,,,,,,,
что ли,PART,,,,,,,
%,что,ЧТО,SCONJ,_,parataxis,0,,
%,ли,ЛИ,PART,_,advmod,1,,
##,,,,,,,,
круглые сутки,ADV,,,,,,,
