words,parts,lemma,pos,feats,deps,head,,
%,все,ВСЕ,PRON,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,advmod,0,,
%,равно,РАВНЫЙ,ADJ,Degree=Pos|Gender=Neut|Number=Sing|Variant=Short,fixed,1,,
##,,,,,,,,
все равно,PART,,,,,,,
%,все,ВСЕ,PRON,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,advmod,0,,
%,равно,РАВНЫЙ,ADJ,Degree=Pos|Gender=Neut|Number=Sing|Variant=Short,fixed,1,,
##,,,,,,,,
всё равно,ADV Degree=Pos,,,,,,,
%,всё,ВСЁ,PRON,Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing,advmod,0,,
%,равно,РАВНЫЙ,ADJ,Degree=Pos|Gender=Neut|Number=Sing|Variant=Short,fixed,1,,
##,,,,,,,,
до отказа,ADV Degree=Pos,,,,,,,
%,до,ДО,ADP,_,advmod,0,,
%,отказа,ОТКАЗ,NOUN,Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing,fixed,1,,
##,,,,,,,,
до поры до времени,ADV Degree=Pos,,,,,,,
%,до,ДО,ADP,_,advmod,0,,
%,поры,ПОРА,NOUN,Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing,fixed,1,,
%,до,ДО,ADP,_,fixed,2,,
%,времени,ВРЕМЯ,NOUN,Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing,fixed,3,,
##,,,,,,,,
до сих пор,ADV Degree=Pos,,,,,,,
%,до,ДО,ADP,_,advmod,0,,
%,сих,СЕЙ,DET,Case=Gen|Number=Plur,fixed,1,,
%,пор,ПОРА,NOUN,Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur,fixed,2,,
##,,,,,,,,
до того как,SCONJ,,,,,,,
%,до,ДО,ADP,_,mark,0,,
%,того,ТО,PRON,Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing,fixed,1,,
%,|,|,PUNCT,_,punct,-1,,
%,как,КАК,SCONJ,_,fixed,3,,
##,,,,,,,,
едва ли,ADV Degree=Pos,,,,,,,
%,едва,ЕДВА,ADV,Degree=Pos,advmod,0,,
%,ли,ЛИ,PART,_,fixed,1,,
##,,,,,,,,
едва не,PART,,,,,,,
%,едва,ЕДВА,ADV,Degree=Pos,advmod,0,,
%,не,НЕ,PART,Polarity=Neg,fixed,1,,
##,,,,,,,,
